title;abstract;keywords;authors;doi
Feature-selection-based dynamic transfer ensemble model for customer churn prediction;;;Xiao, J. and Xiao, Y. and Huang, A. and Liu, D. and Wang, S.;10.1007/s10115-013-0722-y
Including high-cardinality attributes in predictive models: A case study in churn prediction in the energy sector;;;Moeyersoms, J. and Martens, D.;10.1016/j.dss.2015.02.007
Review of data mining techniques for churn prediction in telecom;;;Mahajan, V. and Misra, R. and Mahajan, R.;
A priori-knowledge/actor-critic reinforcement learning architecture for computing the mean-variance customer portfolio: The case of bank marketing campaigns;;;Sánchez, E.M. and Clempner, J.B. and Poznyak, A.S.;10.1016/j.engappai.2015.08.011
Estimating Social Influences from Social Networking Sites-Articulated Friendships versus Communication Interactions;;;Guo, H. and Pathak, P. and Cheng, H.K.;10.1111/deci.12118
Mining the dominant patterns of customer shifts between segments by using top-k and distinguishing sequential rules;;;Akhondzadeh-Noughabi, E. and Albadvi, A.;10.1108/MD-09-2014-0551
Performance Prediction and Sensitivity Analysis of SAW Gas Sensors;;;Tsai, J.-T. and Chiu, K.-Y. and Chou, J.-H.;10.1109/ACCESS.2015.2478789
Dynamic churn prediction framework with more effective use of rare event data: The case of private banking;;;Gür Ali, Ö. and Aritürk, U.;10.1016/j.eswa.2014.06.018
Comparative study of dimension reduction methods for highly imbalanced overlapping churn data;;;Lee, S. and Koo, B. and Jung, K.-H.;10.7232/iems.2014.13.4.454
The importance of social embeddedness: Churn models at mobile providers;;;Benedek, G. and Lublóy, A. and Vastag, G.;10.1111/deci.12057
Profit optimizing customer churn prediction with Bayesian network classifiers;;;Verbraken, T. and Verbeke, W. and Baesens, B.;10.3233/IDA-130625
Applicability of machine-learning techniques in predicting customer defection;;;Prasasti, N. and Ohwada, H.;10.1109/ISTMET.2014.6936498
Research on customers churn prediction model based on logistic;;;Jiang, M. and Chu, N. and Bi, X.M.;10.4028/www.scientific.net/AMR.989-994.1517
Managing B2B customer churn, retention and profitability;;;Jahromi, A.T. and Stakhovych, S. and Ewing, M.;10.1016/j.indmarman.2014.06.016
Prediction of customer attrition of commercial banks based on SVM model;;;He, B. and Shi, Y. and Wan, Q. and Zhao, X.;10.1016/j.procs.2014.05.286
Social network analysis for customer churn prediction;;;Verbeke, W. and Martens, D. and Baesens, B.;10.1016/j.asoc.2013.09.017
Providing a customer churn prediction model Using Random Forest technique;;;Nabavi, S. and Jafari, S.;10.1109/IKT.2013.6620065
Preventing churn in telecommunications: The forgotten network;;;Radosavljevik, D. and Van Der Putten, P.;10.1007/978-3-642-41398-8_31
Customer churn prediction in the online gambling industry: The beneficial effect of ensemble learning;;;Coussement, K. and De Bock, K.W.;10.1016/j.jbusres.2012.12.008
Exploring a local linear model tree approach to car-following;;;Aghabayk, K. and Forouzideh, N. and Young, W.;10.1111/mice.12011
Customer attrition in retailing: An application of Multivariate Adaptive Regression Splines;;;Miguéis, V.L. and Camanho, A. and Falcão E Cunha, J.;10.1016/j.eswa.2013.05.069
Kernel Factory: An ensemble of kernel machines;;;Ballings, M. and Van Den Poel, D.;10.1016/j.eswa.2012.12.007
Churn management optimization with controllable marketing variables and associated management costs;;;Kim, Y.S. and Lee, H. and Johnson, J.D.;10.1016/j.eswa.2012.10.043
Classification of emotional speech units in call centre interactions;;;Galanis, D. and Karabetsos, S. and Koutsombogera, M. and Papageorgiou, H. and Esposito, A. and Riviello, M.-T.;10.1109/CogInfoCom.2013.6719279
A credit assessment mechanism for wireless telecommunication debt collection: An empirical study;;;Wang, H.-Y. and Liao, C. and Kao, C.-H.;10.1007/s10257-012-0192-x
Customer event history for churn prediction: How long is long enough?;;;Ballings, M. and Van Den Poel, D.;10.1016/j.eswa.2012.07.006
Sequential manifold learning for efficient churn prediction;;;Kim, K. and Lee, J.;10.1016/j.eswa.2012.05.069
A hierarchical multiple kernel support vector machine for customer churn prediction using longitudinal behavioral data;;;Chen, Z.-Y. and Fan, Z.-P. and Sun, M.;10.1016/j.ejor.2012.06.040
Improving customer retention in financial services using kinship network information;;;Benoit, D.F. and Van Den Poel, D.;10.1016/j.eswa.2012.04.016
Forecasting of short-term traffic-flow based on improved neurofuzzy models via emotional temporal difference learning algorithm;;;Abdi, J. and Moshiri, B. and Abdulhai, B. and Sedigh, A.K.;10.1016/j.engappai.2011.09.011
Determinants of intangible assets value: The data mining approach;;;Tsai, C.-F. and Lu, Y.-H. and Yen, D.C.;10.1016/j.knosys.2012.02.007
Reconciling performance and interpretability in customer churn prediction using ensemble learning based on generalized additive models;;;De Bock, K.W. and Van Den Poel, D.;10.1016/j.eswa.2012.01.014
New insights into churn prediction in the telecommunication sector: A profit driven data mining approach;;;Verbeke, W. and Dejaeger, K. and Martens, D. and Hur, J. and Baesens, B.;10.1016/j.ejor.2011.09.031
Analytical CRM in banking and finance using SVM: A modified active learning-based rule extraction approach;;;Farquad, M.A.H. and Ravi, V. and Raju, S.B.;10.1504/IJECRM.2012.046470
Predicting customer churn through interpersonal influence;;;Zhang, X. and Zhu, J. and Xu, S. and Wan, Y.;10.1016/j.knosys.2011.12.005
Dynamic classifier ensemble model for customer classification with imbalanced class distribution;;;Xiao, J. and Xie, L. and He, C. and Jiang, X.;10.1016/j.eswa.2011.09.059
Predicting partial customer churn using Markov for discrimination for modeling first purchase sequences;;;Miguéis, V.L. and Van den Poel, D. and Camanho, A.S. and Falcão e Cunha, J.;10.1007/s11634-012-0121-3
Improving customer churn prediction by data augmentation using pictorial stimulus-choice data;;;Ballings, M. and Van Den Poel, D. and Verhagen, E.;10.1007/978-3-642-30864-2_21
Diagnosing assets impairment by using random forests model;;;Chen, C.-L. and Wu, C.-W.;10.1142/S0219622012500046
Feature selection based transfer ensemble model for customer churn prediction;;;Xie, L. and Li, D. and Xiao, J.;10.1109/ICSSEM.2011.6081258
Transfer ensemble model for customer churn prediction with imbalanced class distribution;;;Wang, Y. and Xiao, J.;10.1109/ICM.2011.397
Agent based modelling and simulation: Toward a new model of customer retention in the mobile market;;;Hassouna, M. and Arzoky, M.;
Credit card churn forecasting by logistic regression and decision tree;;;Nie, G. and Rowe, W. and Zhang, L. and Tian, Y. and Shi, Y.;10.1016/j.eswa.2011.06.028
Tuning metaheuristics: A data mining based approach for particle swarm optimization;;;Lessmann, S. and Caserta, M. and Arango, I.M.;10.1016/j.eswa.2011.04.075
Learnability of latent position network models;;;Choi, D.S. and Wolfe, P.J.;10.1109/SSP.2011.5967748
Social network analysis and mining for business applications;;;Bonchi, F. and Castillo, C. and Gionis, A. and Jaimes, A.;10.1145/1961189.1961194
Building comprehensible customer churn prediction models with advanced rule induction techniques;;;Verbeke, W. and Martens, D. and Mues, C. and Baesens, B.;10.1016/j.eswa.2010.08.023
Mining the telecom marketing information to optimizing the customer retention strategies;;;Chueh, H.-E. and Lin, S.-C. and Jan, N.-Y.;
Mining data with random forests: A survey and results of new tests;;;Verikas, A. and Gelzinis, A. and Bacauskiene, M.;10.1016/j.patcog.2010.08.011
A hybrid under-sampling approach for mining unbalanced datasets: Applications to banking and insurance;;;Vasu, M. and Ravi, V.;10.1504/IJDMMM.2011.038812
A fuzzy prediction model for calling communities;;;Kianmehr, K. and Alhajj, R.;10.1504/IJNVO.2011.037162
Churn in social networks: A discussion boards case study;;;Karnstedt, M. and Hennessy, T. and Chan, J. and Hayes, C.;10.1109/SocialCom.2010.40
Fuzzy-rough k-nearest neighbor algorithm for imbalanced data sets learning;;;Han, H. and Mao, B.;10.1109/FSKD.2010.5569116
Rule extraction from support vector machine using modified active learning based approach: An application to CRM;;;Farquad, M.A.H. and Ravi, V. and Raju, S.B.;10.1007/978-3-642-15387-7_50
Customer relationship management: Computer-assisted tools for customer lifetime value prediction;;;Yean, L.C. and Khoo, V.K.T.;10.1109/ITSIM.2010.5561487
Data mining applications in customer churn management;;;KhakAbi, S. and Gholamian, M.R. and Namvar, M.;10.1109/ISMS.2010.49
Variable selection by association rules for customer churn prediction of multimedia on demand;;;Tsai, C.-F. and Chen, M.-Y.;10.1016/j.eswa.2009.06.076
Improved marketing decision making in a customer churn prediction context using generalized additive models;;;Coussement, K. and Benoit, D.F. and Van den Poel, D.;10.1016/j.eswa.2009.07.029
Data mining techniques in customer churn prediction;;;Tsai, C.-F. and Lu, Y.-H.;10.2174/1874479611003010028
Consumer finance: Challenges for operational research;;;Thomas, L.C.;10.1057/jors.2009.104
Data mining using rules extracted from SVM: An application to churn prediction in bank credit cards;;;Farquad, M.A.H. and Ravi, V. and Raju, S.B.;10.1007/978-3-642-10646-0_47
Benefits of quantile regression for the analysis of customer lifetime value in a contractual setting: An application in financial services;;;Benoit, D.F. and Van den Poel, D.;10.1016/j.eswa.2009.01.031
Modeling churn using customer lifetime value;;;Glady, N. and Baesens, B. and Croux, C.;10.1016/j.ejor.2008.06.027
Electronic promotion to new customers using mkNN learning;;;Nassiri-Mofakham, F. and Nematbakhsh, M.A. and Baraani-Dastjerdi, A. and Ghasem-Aghaee, N.;10.1016/j.ins.2008.09.019
Customer churn prediction using improved balanced random forests;;;Xie, Y. and Li, X. and Ngai, E.W.T. and Ying, W.;10.1016/j.eswa.2008.06.121
Domain knowledge integration in data mining using decision tables: Case studies in churn prediction;;;Lima, E. and Mues, C. and Baesens, B.;10.1057/jors.2008.161
Improving customer attrition prediction by integrating emotions from client/company interaction emails and evaluating multiple classifiers;;;Coussement, K. and Poel, D.V.d.;10.1016/j.eswa.2008.07.021
Handling class imbalance in customer churn prediction;;;Burez, J. and Van den Poel, D.;10.1016/j.eswa.2008.05.027
Construction of Bayesian classifiers with GA for predicting customer retention;;;Hongmei, S. and Gaofeng, Z. and Fengxian, A.;10.1109/ICNC.2008.724
Separating financial from commercial customer churn: A modeling step towards resolving the conflict between the sales and credit department;;;Burez, J. and Van den Poel, D.;10.1016/j.eswa.2007.07.036
Churn prediction in subscription services: An application of support vector machines while comparing two parameter-selection techniques;;;Coussement, K. and Van den Poel, D.;10.1016/j.eswa.2006.09.038
Modeling CLV: A test of competing models in the insurance industry;;;Donkers, B. and Verhoef, P.C. and de Jong, M.G.;10.1007/s11129-006-9016-y
CRM at a pay-TV company: Using analytical models to reduce customer attrition by targeted marketing for subscription services;;;Burez, J. and Van den Poel, D.;10.1016/j.eswa.2005.11.037
Predicting customer loyalty using the internal transactional database;;;Buckinx, W. and Verstraeten, G. and Van den Poel, D.;10.1016/j.eswa.2005.11.004
Bagging and boosting classification trees to predict churn;;;Lemmens, A. and Croux, C.;10.1509/jmkr.43.2.276
Predicting customer retention and profitability by using random forests and regression forests techniques;;;Larivière, B. and Van Den Poel, D.;10.1016/j.eswa.2005.04.043
Customer base analysis: Partial defection of behaviourally loyal clients in a non-contractual FMCG retail setting;;;Buckinx, W. and Van Den Poel, D.;10.1016/j.ejor.2003.12.010
A novel evolutionary data mining algorithm with applications to churn prediction;;;Au, W.-H. and Chan, C.C. and Yao, X.;10.1109/TEVC.2003.819264
Using machine learning techniques to predict defection of top clients;;;Buckinx, W. and Baesens, B. and Van Den Poel, D. and Van Kenhove, P. and Vanthienen, J.;
Turning telecommunications call details to churn prediction: A data mining approach;;;Wei, C.-P. and Chiu, I.-T.;10.1016/S0957-4174(02)00030-1
Fuzzy {Clustering} with {Ensemble} {Classification} {Techniques} to {Improve} the {Customer} {Churn} {Prediction} in {Telecommunication} {Sector};;;Vijaya, J. and Sivasankar, E. and Gayathri, S.;10.1007/978-981-13-1280-9_25
Churn {Prediction} and {Retention} in {Banking}, {Telecom} and {IT} {Sectors} {Using} {Machine} {Learning} {Techniques};;;Jain, Himani and Yadav, Garima and Manoov, R.;10.1007/978-981-15-5243-4_12
Customer {Churn} {Models}: {A} {Comparison} of {Probability} and {Data} {Mining} {Approaches};;;Jahromi, Ali Tamaddoni and Stakhovych, Stanislav and Ewing, Michael;10.1007/978-3-319-24184-5_35
Hybrid {PPFCM}-{ANN} model: an efficient system for customer churn prediction through probabilistic possibilistic fuzzy clustering and artificial neural network;;;Sivasankar, E. and Vijaya, J.;10.1007/s00521-018-3548-4
Ensembles of {Probability} {Estimation} {Trees} for {Customer} {Churn} {Prediction};;;De Bock, Koen W. and Van den Poel, Dirk;10.1007/978-3-642-13025-0_7
Customer {Churn} {Time} {Prediction} in {Mobile} {Telecommunication} {Industry} {Using} {Ordinal} {Regression};;;Gopal, Rupesh K. and Meher, Saroj K.;10.1007/978-3-540-68125-0_88
Rule-{Based} {Customer} {Churn} {Prediction} {Model} {Using} {Artificial} {Neural} {Network} {Based} and {Rough} {Set} {Theory};;;Kumar, Harvendra and Yadav, Rakesh Kumar;10.1007/978-981-15-0751-9_9
Customer {Churn} {Prediction} for {Broadband} {Internet} {Services};;;Huang, B. Q. and Kechadi, M-T. and Buckley, B.;10.1007/978-3-642-03730-6_19
In {Pursuit} of {Enhanced} {Customer} {Retention} {Management}: {Review}, {Key} {Issues}, and {Future} {Directions};;;Ascarza, Eva and Neslin, Scott A. and Netzer, Oded and Anderson, Zachery and Fader, Peter S. and Gupta, Sunil and Hardie, Bruce G. S. and Lemmens, Aurélie and Libai, Barak and Neal, David and Provost, Foster and Schrift, Rom;10.1007/s40547-017-0080-0
Support {Vector} {Machines} for {Predicting} {Customer} {Activity} and {Future} {Best} {Customers} in {Non}-{Contractual} {Settings};;;;10.1007/978-3-8349-8121-9_5
Supervised {Classification} for {Decision} {Support} in {Customer} {Relationship} {Management};;;Lessmann, Stefan and Voß, Stefan;10.1007/978-3-8349-9777-7_14
Machine {Learning} and {Big} {Data};;;Kübler, Raoul V. and Wieringa, Jaap E. and Pauwels, Koen H.;10.1007/978-3-319-53469-5_19
A churn prediction model for prepaid customers in telecom using fuzzy classifiers;;;Azeem, Muhammad and Usman, Muhammad and Fong, A. C. M.;10.1007/s11235-017-0310-7
Applying {Fuzzy} {Data} {Mining} to {Telecom} {Churn} {Management};;;Liao, Kuo-Hsiung and Chueh, Hao-En;10.1007/978-3-642-18129-0_41
Marketing {Meets} {Data} {Science}: {Bridging} the {Gap};;;Moscato, Pablo and de Vries, Natalie Jane;10.1007/978-3-030-06222-4_1
Data {Analytics} and {Its} {Application} in {Various} {Industries};;;Gupta, Deepti;10.1007/978-1-4842-3525-6_1
Consumer dynamics: theories, methods, and emerging directions;;;Zhang, Jonathan Z. and Chang, Chun-Wei;10.1007/s11747-020-00720-8
A {Graph}-{Based} {Churn} {Prediction} {Model} for {Mobile} {Telecom} {Networks};;;Saravanan, M. and Vijay Raajaa, G. S.;10.1007/978-3-642-35527-1_31
The {Predictive} {Modeling} {Process};;;Blattberg, Robert C. and Kim, Byung-Do and Neslin, Scott A.;10.1007/978-0-387-72579-6_10
Call {Churn} {Prediction} with {PySpark};;;Nonghuloo, Mark Sheridan and Aravind Reddy, Rangapuram and Manideep, Ganji and SarathVamsi, M. R. and Lavanya, K.;10.1007/978-981-15-0184-5_67
Towards a {Large} {Scale} {Practical} {Churn} {Model} for {Prepaid} {Mobile} {Markets};;;Meher, Amit Kumar and Wilson, Jobin and Prashanth, R.;10.1007/978-3-319-62701-4_8
Bayesian {Network} {Approach} to {Predict} {Mobile} {Churn} {Motivations}: {Emphasis} on {General} {Bayesian} {Network}, {Markov} {Blanket}, and {What}-{If} {Simulation};;;Lee, Kun Chang and Jo, Nam Yong;10.1007/978-3-642-17569-5_30
{AI} {Capabilities} {Framework};;;Burgess, Andrew;10.1007/978-3-319-63820-1_3
Rough {Sets} for {Modeling} {Interstate} {Conflict};;;Marwala, Tshilidzi and Lagazio, Monica;10.1007/978-0-85729-790-7_7
Optimum profit-driven churn decision making: innovative artificial neural networks in telecom industry;;;Jafari-Marandi, Ruholla and Denton, Joshua and Idris, Adnan and Smith, Brian K. and Keramati, Abbas;10.1007/s00521-020-04850-6
Basic {Learning} {Algorithms};;;Akerkar, Rajendra and Sajja, Priti Srinivas;10.1007/978-3-319-29206-9_3
A support vector machine ({SVM}) approach to imbalanced datasets of customer responses: comparison with other customer response models;;;Kim, Gitae and Chae, Bongsug Kevin and Olson, David L.;10.1007/s11628-012-0147-9
Models of {Customer} {Value};;;Gupta, Sunil and Lehmann, Donald R.;10.1007/978-0-387-78213-3_8
Applications of {Intelligent} {Technologies} in {Retail} {Marketing};;;Ravi, Vadlamani and Raman, Kalyan and K. Mantrala, Murali;10.1007/3-540-28433-8_9
Rough {Sets} for {Condition} {Monitoring};;;Marwala, Tshilidzi;10.1007/978-1-4471-2380-4_8
Utilizing {Customers}’ {Purchase} and {Contract} {Renewal} {Details} to {Predict} {Defection} in the {Cloud} {Software} {Industry};;;Martono, Niken Prasasti and Kanamori, Katsutoshi and Ohwada, Hayato;10.1007/978-3-319-13332-4_12
A {Study} of {App} {User} {Behaviours}: {Transitions} from {Freemium} to {Premium};;;Mulligan, Christopher and Cruz, Carlito Vera and Healy, Donagh and Murphy, David and Hall, Margeret and Nelson, Quinn and Caton, Simon;10.1007/978-3-319-91716-0_31
Creating {Growth} {Trajectories};;;Cohan, Peter S.;10.1007/978-1-4842-4312-1_2
Application-{Level} {Benchmarking} of {Big} {Data} {Systems};;;Baru, Chaitanya and Rabl, Tilmann;10.1007/978-81-322-3628-3_10
Community {Discovery} in {Social} {Networks}: {Applications}, {Methods} and {Emerging} {Trends};;;Parthasarathy, S. and Ruan, Y. and Satuluri, V.;10.1007/978-1-4419-8462-3_4
Statistical {Modelling};;;Dettling, Marcel and Ruckstuhl, Andreas;10.1007/978-3-030-11821-1_11
Evaluating the impact of service quality on the dynamics of customer satisfaction in the telecommunication industry of {Jorhat}, {Assam};;;Hussain, Syed Abou Iltaf and Baruah, Debasish and Dutta, Bapi and Mandal, Uttam Kumar and Mondal, Sankar Prasad and Nath, Thuleswar;10.1007/s11235-018-0514-5
Churn prediction using comprehensible support vector machine: An analytical CRM application;;;Farquad, M.A.H. and Ravi, V. and Raju, S.B.;10.1016/j.asoc.2014.01.031
Staying Power of Churn Prediction Models;;;Risselada, H. and Verhoef, P.C. and Bijmolt, T.H.A.;10.1016/j.intmar.2010.04.002
Applying behavioral economics in predictive analytics for B2B churn: Findings from service quality data;;;Barfar, A. and Padmanabhan, B. and Hevner, A.;10.1016/j.dss.2017.06.006
Forecasting client retention — A machine-learning approach;;;Schaeffer, S.E. and Rodriguez Sanchez, S.V.;10.1016/j.jretconser.2019.101918
A bibliometric analysis and cutting-edge overview on fuzzy techniques in Big Data;;;Shukla, A.K. and Muhuri, P.K. and Abraham, A.;10.1016/j.engappai.2020.103625
Does country-of-origin brand personality generate retail customer lifetime value? A Big Data analytics approach;;;Chiang, L.-L.L. and Yang, C.-S.;10.1016/j.techfore.2017.06.034
A memetic approach to construct transductive discrete support vector machines;;;Brandner, H. and Lessmann, S. and Voß, S.;10.1016/j.ejor.2013.05.010
Why you should stop predicting customer churn and start using uplift models;;Prescriptive analytics, Uplift modeling, Customer churn prediction, Customer retention, Maximum profit;Floris Devriendt and Jeroen Berrevoets and Wouter Verbeke;https://doi.org/10.1016/j.ins.2019.12.075
Churn prediction model for effective gym customer retention;In the fitness industry, rolling gym membership contracts allow customers to terminate a contract with little advanced notice. Customer churn prediction is a well known area in Machine Learning research. Many companies, however, face a data science skills gap when trying to translate this research onto their own datasets and IT infrastructure. In this paper we present a series of experiments that aim to predict customer behaviour, in order to increase gym utilisation and customer retention. We use two off-the-shelf machine learning platforms, so that we can evaluate whether these platforms, used by non ML experts, can help companies improve their services.;"customer relationship management;data mining;learning (artificial intelligence);fitness industry;gym membership contracts;customer churn prediction;customer behaviour;gym utilisation;rolling gym membership contracts;off-the-shelf machine learning platforms;gym customer retention;Contracts;Companies;Predictive models;Industries;Neural networks;Prediction algorithms;customer churn;gym attendance;machine learning";J. {Semrl} and A. {Matei};10.1109/BESC.2017.8256385
Improving {Customer} {Churn} {Prediction} by {Data} {Augmentation} {Using} {Pictorial} {Stimulus}-{Choice} {Data};;;Ballings, Michel and Van den Poel, Dirk and Verhagen, Emmanuel;10.1007/978-3-642-30864-2_21
Chapter 4 - Classification;;Classification, decision trees, rule induction, k-nearest neighbors, naïve Bayesian, artificial neural networks, support vector machines, ensemble, bagging, boosting, random forests;Vijay Kotu and Bala Deshpande;https://doi.org/10.1016/B978-0-12-801460-8.00004-5
Bregman {Bubble} {Clustering}: {A} {Robust} {Framework} for {Mining} {Dense} {Clusters};;;Ghosh, Joydeep and Gupta, Gunjan;10.1007/978-3-642-23166-7_7
Preventing {Churn} in {Telecommunications}: {The} {Forgotten} {Network};;;Radosavljevik, Dejan and van der Putten, Peter;10.1007/978-3-642-41398-8_31
A reference model for customer-centric data mining with support vector machines;;;Lessmann, S. and Voß, S.;10.1016/j.ejor.2008.12.017
Dynamic customer lifetime value prediction using longitudinal data: An improved multiple kernel SVR approach;;;Chen, Z.-Y. and Fan, Z.-P.;10.1016/j.knosys.2013.01.022
Rule {Extraction} from {Support} {Vector} {Machine} {Using} {Modified} {Active} {Learning} {Based} {Approach}: {An} {Application} to {CRM};;;Hutchison, David and Kanade, Takeo and Kittler, Josef and Kleinberg, Jon M. and Mattern, Friedemann and Mitchell, John C. and Naor, Moni and Nierstrasz, Oscar and Pandu Rangan, C. and Steffen, Bernhard and Sudan, Madhu and Terzopoulos, Demetri and Tygar, Doug and Vardi, Moshe Y. and Weikum, Gerhard and Farquad, M. A. H. and Ravi, V. and Raju, S. Bapi;10.1007/978-3-642-15387-7_50
A machine learning framework for customer purchase prediction in the non-contractual setting;;Analytics, Purchase prediction, Sales forecast, Non-contractual setting, Machine learning;Andrés Martínez and Claudia Schmuck and Sergiy Pereverzyev and Clemens Pirker and Markus Haltmeier;https://doi.org/10.1016/j.ejor.2018.04.034
A machine learning framework for customer purchase prediction in the non-contractual setting;;;Martínez, A. and Schmuck, C. and Pereverzyev, S. and Pirker, C. and Haltmeier, M.;10.1016/j.ejor.2018.04.034
Customer churn prediction in the telecommunication sector using a rough set approach;;Classification, Churn prediction, Data mining, Feature selection, Rough Set theory;Adnan Amin and Sajid Anwar and Awais Adnan and Muhammad Nawaz and Khalid Alawfi and Amir Hussain and Kaizhu Huang;https://doi.org/10.1016/j.neucom.2016.12.009
Applications of {Intelligent} {Technologies} in {Retail} {Marketing};;;Ravi, Vadlamani and Raman, Kalyan and Mantrala, Murali K.;10.1007/978-3-540-72003-4_11
Managing B2B customer churn, retention and profitability;;B2B customer churn, Data mining, Non-contractual setting, Retention campaign, Profit;Ali {Tamaddoni Jahromi} and Stanislav Stakhovych and Michael Ewing;https://doi.org/10.1016/j.indmarman.2014.06.016
A comparative analysis of data preparation algorithms for customer churn prediction: A case study in the telecommunication industry;;;Coussement, K. and Lessmann, S. and Verstraeten, G.;10.1016/j.dss.2016.11.007
Fuzzy c-means clustering using Jeffreys-divergence based similarity measure;;Jeffreys-divergence, Jeffreys-divergence based similarity measure, Fuzzy c-means, Jeffreys-fuzzy-c-means clustering;Ayan Seal and Aditya Karlekar and Ondrej Krejcar and Consuelo Gonzalo-Martin;https://doi.org/10.1016/j.asoc.2019.106016
Detecting the migration of mobile service customers using fuzzy clustering;;;Bose, I. and Chen, X.;10.1016/j.im.2014.11.001
Distributed customer behavior prediction using multiplex data: A collaborative MK-SVM approach;;;Chen, Z.-Y. and Fan, Z.-P.;10.1016/j.knosys.2012.04.023
